"","","","","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Median Rent ($)","Median Rent ($)","Median Rent ($)","Median Rent ($)","Median Rent ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Housing Units","Housing Units","Housing Units","Housing Units","Housing Units","Occupied Units","Occupied Units","Occupied Units","Occupied Units","Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units"
"Somerset","Bernards Twp","21","7","13","10","14","9","9","9","8","3","10","8","1,447","1,538","1,571","1,600","-","1,893","1,905","1,924","2,047","-","643,260","659,322","662,546","665,202","661,625","10,103","10,103","10,103","10,103","10,103","9,783","9,783","9,783","9,783","9,783","96.83","96.83","96.83","96.83","96.83","8,499","8,499","8,499","8,499","8,499","86.88","86.88","86.88","86.88","86.88"
"Salem","Woodstown","3","2","0","0","1","0","0","0","0","0","0","1","445","495","544","536","-","972","955","967","967","-","205,304","205,006","198,445","197,070","202,023","1,529","1,529","1,529","1,529","1,529","1,444","1,444","1,444","1,444","1,444","94.44","94.44","94.44","94.44","94.44","882","882","882","882","882","61.08","61.08","61.08","61.08","61.08"
"Salem","Salem","3","2","0","0","0","0","0","0","0","0","0","0","1,214","1,209","1,233","1,293","-","850","859","868","861","-","76,977","63,949","65,882","49,120","51,674","2,633","2,633","2,633","2,633","2,633","2,157","2,157","2,157","2,157","2,157","81.92","81.92","81.92","81.92","81.92","765","765","765","765","765","35.47","35.47","35.47","35.47","35.47"
"Salem","Quinton","3","2","1","0","0","0","2","0","0","0","0","0","142","137","88","106","-","1,047","1,080","1,095","1,059","-","163,505","166,349","158,023","147,746","146,181","1,099","1,099","1,099","1,099","1,099","1,036","1,036","1,036","1,036","1,036","94.27","94.27","94.27","94.27","94.27","864","864","864","864","864","83.4","83.4","83.4","83.4","83.4"
"Salem","Pilesgrove","3","2","3","4","0","0","1","2","1","0","2","1","259","212","218","220","-","1,518","1,210","1,146","1,157","-","256,377","255,414","253,441","259,034","266,699","1,594","1,594","1,594","1,594","1,594","1,488","1,488","1,488","1,488","1,488","93.35","93.35","93.35","93.35","93.35","1,218","1,218","1,218","1,218","1,218","81.85","81.85","81.85","81.85","81.85"
"Passaic","Hawthorne","38","9","0","2","2","20","0","1","0","0","1","16","2,189","2,272","2,447","2,600","-","1,404","1,420","1,423","1,448","-","343,655","343,752","351,473","355,551","386,637","7,756","7,756","7,756","7,756","7,756","7,454","7,454","7,454","7,454","7,454","96.11","96.11","96.11","96.11","96.11","4,771","4,771","4,771","4,771","4,771","64.01","64.01","64.01","64.01","64.01"
"Passaic","Little Falls","40","11","5","37","6","45","56","0","5","0","51","3","1,665","1,769","1,840","1,784","-","1,223","1,235","1,259","1,327","-","334,328","333,325","330,488","329,363","335,008","4,925","4,925","4,925","4,925","4,925","4,740","4,740","4,740","4,740","4,740","96.24","96.24","96.24","96.24","96.24","3,273","3,273","3,273","3,273","3,273","69.05","69.05","69.05","69.05","69.05"
"Passaic","Passaic","36","9","0","0","0","0","12","55","6","1","2","0","15,070","14,617","14,431","14,545","-","1,076","1,092","1,122","1,145","-","295,167","334,014","303,406","317,675","345,585","20,432","20,432","20,432","20,432","20,432","19,411","19,411","19,411","19,411","19,411","95","95","95","95","95","4,925","4,925","4,925","4,925","4,925","25.37","25.37","25.37","25.37","25.37"
"Somerset","Bedminster","23","7","1","0","0","1","2","0","0","0","1","0","702","736","875","790","-","1,882","1,814","1,870","1,962","-","368,622","374,513","383,634","390,489","392,965","4,349","4,349","4,349","4,349","4,349","4,100","4,100","4,100","4,100","4,100","94.27","94.27","94.27","94.27","94.27","3,309","3,309","3,309","3,309","3,309","80.71","80.71","80.71","80.71","80.71"
"Somerset","South Bound Brook","23","12","3","25","4","4","0","1","5","0","27","1","548","616","545","495","-","1,340","1,262","1,285","1,366","-","227,747","239,015","244,365","252,376","261,399","1,865","1,865","1,865","1,865","1,865","1,733","1,733","1,733","1,733","1,733","92.92","92.92","92.92","92.92","92.92","1,065","1,065","1,065","1,065","1,065","61.45","61.45","61.45","61.45","61.45"
"Warren","Washington Twp","23","5","2","1","4","3","1","2","1","0","1","4","94","67","79","155","-","731","1,112","1,154","1,375","-","263,550","260,977","252,279","249,701","254,685","2,493","2,493","2,493","2,493","2,493","2,380","2,380","2,380","2,380","2,380","95.47","95.47","95.47","95.47","95.47","2,156","2,156","2,156","2,156","2,156","90.59","90.59","90.59","90.59","90.59"
"Sussex","Stillwater","24","5","2","1","2","1","0","2","2","0","1","1","180","163","193","172","-","1,100","1,194","1,108","1,083","-","224,943","219,542","229,014","227,361","226,761","1,930","1,930","1,930","1,930","1,930","1,553","1,553","1,553","1,553","1,553","80.47","80.47","80.47","80.47","80.47","1,391","1,391","1,391","1,391","1,391","89.57","89.57","89.57","89.57","89.57"
"Burlington","Washington Twp","9","2","3","2","8","1","2","3","2","0","7","0","30","28","26","36","-","1,125","962","956","1,018","-","221,069","213,112","207,163","216,095","211,741","284","284","284","284","284","256","256","256","256","256","90.14","90.14","90.14","90.14","90.14","200","200","200","200","200","78.13","78.13","78.13","78.13","78.13"
"Burlington","Tabernacle","9","3","5","7","0","1","6","2","5","1","2","1","155","142","90","84","-","1,567","1,555","1,833","1,778","-","282,803","279,511","285,838","287,806","292,086","2,445","2,445","2,445","2,445","2,445","2,375","2,375","2,375","2,375","2,375","97.14","97.14","97.14","97.14","97.14","2,220","2,220","2,220","2,220","2,220","93.47","93.47","93.47","93.47","93.47"
"Burlington","Wrightstown","12","3","0","0","0","0","0","0","0","0","0","0","223","222","236","217","-","931","985","967","918","-","140,794","137,780","151,826","161,661","172,430","348","348","348","348","348","309","309","309","309","309","88.79","88.79","88.79","88.79","88.79","91","91","91","91","91","29.45","29.45","29.45","29.45","29.45"
"Burlington","Willingboro","7","3","123","159","0","15","68","1","258","0","9","11","1,500","1,633","1,766","1,694","-","1,616","1,551","1,576","1,599","-","149,427","147,655","147,906","153,682","155,723","11,442","11,442","11,442","11,442","11,442","10,884","10,884","10,884","10,884","10,884","95.12","95.12","95.12","95.12","95.12","9,560","9,560","9,560","9,560","9,560","87.84","87.84","87.84","87.84","87.84"
"Camden","Barrington","5","1","5","0","2","1","4","1","1","0","1","0","1,059","1,048","1,030","1,037","-","845","873","893","906","-","203,343","203,884","206,075","203,071","208,055","3,158","3,158","3,158","3,158","3,158","2,988","2,988","2,988","2,988","2,988","94.62","94.62","94.62","94.62","94.62","1,853","1,853","1,853","1,853","1,853","62.01","62.01","62.01","62.01","62.01"
"Camden","Audubon","5","1","4","1","1","0","0","3","3","-","0","0","869","860","987","951","-","927","878","889","929","-","191,786","199,256","200,403","203,935","207,311","3,779","3,779","3,779","3,779","3,779","3,600","3,600","3,600","3,600","3,600","95.26","95.26","95.26","95.26","95.26","2,644","2,644","2,644","2,644","2,644","73.44","73.44","73.44","73.44","73.44"
"Passaic","Woodland Park","40","11","77","112","29","2","1","35","83","0","23","3","1,632","1,524","1,577","1,438","-","1,278","1,314","1,362","1,430","-","371,996","359,664","368,285","376,190","367,714","4,835","4,835","4,835","4,835","4,835","4,632","4,632","4,632","4,632","4,632","95.8","95.8","95.8","95.8","95.8","2,792","2,792","2,792","2,792","2,792","60.28","60.28","60.28","60.28","60.28"
"Passaic","West Milford","26","5","6","9","7","11","10","8","7","1","5","10","1,073","1,045","982","991","-","1,416","1,471","1,614","1,566","-","256,220","269,285","264,746","263,539","267,119","10,419","10,419","10,419","10,419","10,419","9,625","9,625","9,625","9,625","9,625","92.38","92.38","92.38","92.38","92.38","8,577","8,577","8,577","8,577","8,577","89.11","89.11","89.11","89.11","89.11"
"Salem","Carneys Point","3","2","13","10","6","13","39","9","10","0","5","2","1,022","877","918","917","-","1,002","959","1,002","1,011","-","161,710","146,216","131,415","138,845","146,993","3,502","3,502","3,502","3,502","3,502","3,264","3,264","3,264","3,264","3,264","93.2","93.2","93.2","93.2","93.2","2,174","2,174","2,174","2,174","2,174","66.61","66.61","66.61","66.61","66.61"
"Passaic","Prospect Park","35","9","0","0","0","0","0","0","0","0","0","0","906","905","897","928","-","1,280","1,298","1,291","1,353","-","214,479","219,323","226,049","240,484","257,022","1,931","1,931","1,931","1,931","1,931","1,797","1,797","1,797","1,797","1,797","93.06","93.06","93.06","93.06","93.06","839","839","839","839","839","46.69","46.69","46.69","46.69","46.69"
"Passaic","Paterson","35","9","144","30","237","23","154","18","121","0","1","26","31,017","30,672","31,112","30,841","-","1,116","1,112","1,122","1,149","-","243,433","212,805","210,488","212,842","239,313","47,946","47,946","47,946","47,946","47,946","44,329","44,329","44,329","44,329","44,329","92.46","92.46","92.46","92.46","92.46","13,118","13,118","13,118","13,118","13,118","29.59","29.59","29.59","29.59","29.59"
"Passaic","Wanaque","39","11","9","43","65","37","0","38","0","4","57","1","612","631","552","571","-","1,404","1,414","1,462","1,471","-","277,131","273,386","257,851","263,214","268,830","4,184","4,184","4,184","4,184","4,184","4,018","4,018","4,018","4,018","4,018","96.03","96.03","96.03","96.03","96.03","3,318","3,318","3,318","3,318","3,318","82.58","82.58","82.58","82.58","82.58"
"Passaic","Totowa","40","11","4","33","8","34","51","2","1","0","2","8","632","621","643","549","-","1,481","1,466","1,501","1,540","-","370,968","382,928","368,627","372,258","370,665","3,918","3,918","3,918","3,918","3,918","3,783","3,783","3,783","3,783","3,783","96.55","96.55","96.55","96.55","96.55","3,058","3,058","3,058","3,058","3,058","80.84","80.84","80.84","80.84","80.84"
""
"County Summary"
"","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Median Rent ($)","Median Rent ($)","Median Rent ($)","Median Rent ($)","Median Rent ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Housing Units","Housing Units","Housing Units","Housing Units","Housing Units","Occupied Units","Occupied Units","Occupied Units","Occupied Units","Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units"
"County  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  "
"Atlantic","777","352","964","1,024","576","353","487","25","409","593","31,244","32,173","31,937","31,591","-","1,045.17","1,045.06","1,051.9","1,065.13","-","257,962.07","256,295.38","246,480.23","242,569.85","245,705.57","126,647","126,647","126,647","126,647","126,647","102,847","102,847","102,847","102,847","102,847","81.21","81.21","81.21","81.21","81.21","70,156","70,156","70,156","70,156","70,156","68.21","68.21","68.21","68.21","68.21"
"Bergen","1,617","1,211","2,582","2,057","1,956","1,357","1,346","175","1,926","2,024","113,945","113,511","114,454","115,502","-","1,373.63","1,399.26","1,428.49","1,469.86","-","495,378.1","504,239.37","513,629.69","526,915.8","536,270.65","352,388","352,388","352,388","352,388","352,388","335,730","335,730","335,730","335,730","335,730","95.27","95.27","95.27","95.27","95.27","221,966","221,966","221,966","221,966","221,966","66.11","66.11","66.11","66.11","66.11"
"Burlington","977","747","612","785","1,132","538","981","33","518","560","35,438","36,960","37,156","37,249","-","1,242.11","1,236.55","1,252.4","1,285.49","-","245,664.03","249,060.87","250,699.2","252,878.1","256,059.69","175,615","175,615","175,615","175,615","175,615","166,318","166,318","166,318","166,318","166,318","94.71","94.71","94.71","94.71","94.71","129,656","129,656","129,656","129,656","129,656","77.96","77.96","77.96","77.96","77.96"
"Camden","236","240","213","473","443","294","366","13","224","340","58,423","58,477","58,946","59,894","-","1,001.28","1,003.32","1,011.23","1,040.59","-","179,669.25","181,966.85","183,543.13","184,919.99","188,418.44","204,943","204,943","204,943","204,943","204,943","190,980","190,980","190,980","190,980","190,980","93.19","93.19","93.19","93.19","93.19","130,355","130,355","130,355","130,355","130,355","68.26","68.26","68.26","68.26","68.26"
"Cape May","646","639","625","773","671","616","569","27","540","561","9,004","8,685","8,455","7,964","-","1,060.25","1,061.6","1,060.25","1,108","-","476,523.43","479,374.1","491,812.6","502,292.23","521,865.32","98,309","98,309","98,309","98,309","98,309","40,812","40,812","40,812","40,812","40,812","41.51","41.51","41.51","41.51","41.51","30,155","30,155","30,155","30,155","30,155","73.89","73.89","73.89","73.89","73.89"
"Cumberland","130","129","45","37","64","115","66","1","131","49","16,146","16,390","17,391","17,669","-","977.9","980.82","999.98","992.37","-","141,212.83","144,025.77","143,659.42","145,640.54","145,752.23","55,834","55,834","55,834","55,834","55,834","51,931","51,931","51,931","51,931","51,931","93.01","93.01","93.01","93.01","93.01","34,622","34,622","34,622","34,622","34,622","66.67","66.67","66.67","66.67","66.67"
"Essex","2,220","1,580","1,503","1,431","1,108","571","805","93","1,523","827","148,855","150,648","152,717","152,104","-","1,076.72","1,078.71","866.45","1,125.55","-","385,738.68","392,062.57","401,903.91","419,784.44","434,138.68","312,954","312,954","312,954","312,954","312,954","283,712","283,712","283,712","283,712","283,712","90.66","90.66","90.66","90.66","90.66","128,346","128,346","128,346","128,346","128,346","45.24","45.24","45.24","45.24","45.24"
"Gloucester","394","660","608","804","409","488","478","44","552","544","20,007","20,374","20,715","20,541","-","1,044.72","1,065.51","1,093.19","1,133.13","-","204,265.02","205,831.4","208,118.32","210,852.55","214,164.94","109,796","109,796","109,796","109,796","109,796","104,271","104,271","104,271","104,271","104,271","94.97","94.97","94.97","94.97","94.97","83,525","83,525","83,525","83,525","83,525","80.1","80.1","80.1","80.1","80.1"
"Hudson","5,641","4,096","5,312","7,403","6,201","1,633","2,187","34","3,221","2,182","164,360","168,330","171,010","170,296","-","1,238.7","1,264.02","1,300.87","1,339.59","-","341,330.84","357,981.73","398,113.32","427,892.29","452,114.48","270,335","270,335","270,335","270,335","270,335","246,437","246,437","246,437","246,437","246,437","91.16","91.16","91.16","91.16","91.16","79,063","79,063","79,063","79,063","79,063","32.08","32.08","32.08","32.08","32.08"
"Hunterdon","222","164","230","118","316","94","119","4","184","139","7,111","7,245","7,305","7,193","-","1,390.43","1,344.95","1,338.38","1,404.8","-","380,387.11","386,311.71","391,870.64","393,071.53","396,299.32","49,487","49,487","49,487","49,487","49,487","47,169","47,169","47,169","47,169","47,169","95.32","95.32","95.32","95.32","95.32","39,580","39,580","39,580","39,580","39,580","83.91","83.91","83.91","83.91","83.91"
"Mercer","280","708","906","439","412","448","356","49","420","141","44,249","44,870","45,107","44,816","-","1,163.59","1,154.08","1,179.85","1,226.17","-","290,420.12","292,038.85","296,032.48","296,017.52","300,712.34","143,169","143,169","143,169","143,169","143,169","133,155","133,155","133,155","133,155","133,155","93.01","93.01","93.01","93.01","93.01","87,700","87,700","87,700","87,700","87,700","65.86","65.86","65.86","65.86","65.86"
