"","","","","Census Population","Census Population","Census Population","Census Population","Census Population","Estimated Population","Estimated Population","Estimated Population","Estimated Population","Estimated Population","% Change","% Change","% Change","% Change","% Change","Population 25+","Population 25+","Population 25+","Population 25+","Population 25+","College Grads","College Grads","College Grads","College Grads","College Grads","% College Grads","% College Grads","% College Grads","% College Grads","% College Grads","Foreign Born","Foreign Born","Foreign Born","Foreign Born","Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","African American","African American","African American","African American","African American","% African American","% African American","% African American","% African American","% African American","Asian","Asian","Asian","Asian","Asian","% Asian","% Asian","% Asian","% Asian","% Asian","Hispanic","Hispanic","Hispanic","Hispanic","Hispanic","% Hispanic","% Hispanic","% Hispanic","% Hispanic","% Hispanic","# Age 0-5","# Age 0-5","# Age 0-5","# Age 0-5","# Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","Age 65+","Age 65+","Age 65+","Age 65+","Age 65+","% Age 65+","% Age 65+","% Age 65+","% Age 65+","% Age 65+"
"Ocean","Mantoloking","10","3","296","296","296","296","296","258","253","251","257","257","-12.84","-14.53","-15.2","-13.18","-13.18","313","307","248","259","-","239","242","105","208","-","76.36","78.83","42.34","80.31","-","21","2","6","9","-","5.9","0.59","2.17","3.06","-","5","5","5","5","5","1.69","1.69","1.69","1.69","1.69","1","1","1","1","1","0.34","0.34","0.34","0.34","0.34","7","7","7","7","7","2.36","2.36","2.36","2.36","2.36","4","4","4","4","4","1.35","1.35","1.35","1.35","1.35","141","141","141","141","141","47.64","47.64","47.64","47.64","47.64"
"Middlesex","Edison","18","6","99,967","99,967","99,967","99,967","99,967","101,970","102,701","101,996","102,450","100,693","2","2.73","2.03","2.48","0.73","71,269","72,878","73,264","73,870","-","37,941","38,883","22,329","40,476","-","53.24","53.35","30.48","54.79","-","43,780","45,667","46,694","48,030","-","43.32","44.83","45.84","46.95","-","7,046","7,046","7,046","7,046","7,046","7.05","7.05","7.05","7.05","7.05","43,177","43,177","43,177","43,177","43,177","43.19","43.19","43.19","43.19","43.19","8,112","8,112","8,112","8,112","8,112","8.11","8.11","8.11","8.11","8.11","6,422","6,422","6,422","6,422","6,422","6.42","6.42","6.42","6.42","6.42","12,625","12,625","12,625","12,625","12,625","12.63","12.63","12.63","12.63","12.63"
"Ocean","Ocean Twp","9","3","8,332","8,332","8,332","8,332","8,332","8,658","8,850","9,013","9,049","9,062","3.91","6.22","8.17","8.61","8.76","1,447","6,887","7,083","7,214","-","330","1,891","1,376","1,996","-","22.81","27.46","19.43","27.67","-","47","319","321","279","-","2.27","3.7","3.67","3.16","-","49","49","49","49","49","0.59","0.59","0.59","0.59","0.59","90","90","90","90","90","1.08","1.08","1.08","1.08","1.08","230","230","230","230","230","2.76","2.76","2.76","2.76","2.76","352","352","352","352","352","4.22","4.22","4.22","4.22","4.22","2,037","2,037","2,037","2,037","2,037","24.45","24.45","24.45","24.45","24.45"
"Ocean","Pine Beach","9","3","2,127","2,127","2,127","2,127","2,127","2,165","2,150","2,152","2,168","2,172","1.79","1.08","1.18","1.93","2.12","1,513","1,480","1,530","1,600","-","536","543","333","628","-","35.43","36.69","21.76","39.25","-","86","83","90","98","-","3.84","3.82","4.07","4.49","-","8","8","8","8","8","0.38","0.38","0.38","0.38","0.38","30","30","30","30","30","1.41","1.41","1.41","1.41","1.41","79","79","79","79","79","3.71","3.71","3.71","3.71","3.71","96","96","96","96","96","4.51","4.51","4.51","4.51","4.51","353","353","353","353","353","16.6","16.6","16.6","16.6","16.6"
"Middlesex","Sayreville","19","6","42,704","42,704","42,704","42,704","42,704","45,262","44,920","44,905","45,325","44,556","5.99","5.19","5.15","6.14","4.34","31,021","30,800","31,433","32,252","-","10,226","9,989","6,750","10,355","-","32.96","32.43","21.47","32.11","-","11,919","11,684","11,657","12,061","-","27.11","26.52","26.34","26.96","-","4,573","4,573","4,573","4,573","4,573","10.71","10.71","10.71","10.71","10.71","6,882","6,882","6,882","6,882","6,882","16.12","16.12","16.12","16.12","16.12","5,258","5,258","5,258","5,258","5,258","12.31","12.31","12.31","12.31","12.31","2,799","2,799","2,799","2,799","2,799","6.55","6.55","6.55","6.55","6.55","5,186","5,186","5,186","5,186","5,186","12.14","12.14","12.14","12.14","12.14"
"Hudson","East Newark","32","8","2,406","2,406","2,406","2,406","2,406","2,835","2,665","2,754","2,735","2,647","17.83","10.76","14.46","13.67","10.02","1,684","1,677","1,848","1,897","-","262","224","157","356","-","15.56","13.36","8.5","18.77","-","1,488","1,529","1,528","1,627","-","58.33","59.33","56.24","59.71","-","46","46","46","46","46","1.91","1.91","1.91","1.91","1.91","188","188","188","188","188","7.81","7.81","7.81","7.81","7.81","1,477","1,477","1,477","1,477","1,477","61.39","61.39","61.39","61.39","61.39","158","158","158","158","158","6.57","6.57","6.57","6.57","6.57","175","175","175","175","175","7.27","7.27","7.27","7.27","7.27"
"Gloucester","Woolwich","3","2","10,200","10,200","10,200","10,200","10,200","11,783","12,295","12,365","12,472","12,786","15.52","20.54","21.23","22.27","25.35","6,633","7,004","7,345","7,701","-","3,357","3,456","2,184","4,086","-","50.61","49.34","29.73","53.06","-","1,036","1,078","1,041","1,215","-","9.45","9.34","8.76","9.98","-","1,017","1,017","1,017","1,017","1,017","9.97","9.97","9.97","9.97","9.97","614","614","614","614","614","6.02","6.02","6.02","6.02","6.02","365","365","365","365","365","3.58","3.58","3.58","3.58","3.58","930","930","930","930","930","9.12","9.12","9.12","9.12","9.12","650","650","650","650","650","6.37","6.37","6.37","6.37","6.37"
"Hudson","Hoboken","33","8","50,005","50,005","50,005","50,005","50,005","53,312","53,635","54,379","55,131","53,455","6.61","7.26","8.75","10.25","6.9","39,318","40,230","40,857","41,566","-","29,194","31,175","20,605","32,517","-","74.25","77.49","50.43","78.23","-","8,328","8,501","8,676","8,919","-","16.02","16.21","16.33","16.48","-","1,767","1,767","1,767","1,767","1,767","3.53","3.53","3.53","3.53","3.53","3,558","3,558","3,558","3,558","3,558","7.12","7.12","7.12","7.12","7.12","7,602","7,602","7,602","7,602","7,602","15.2","15.2","15.2","15.2","15.2","3,388","3,388","3,388","3,388","3,388","6.78","6.78","6.78","6.78","6.78","3,155","3,155","3,155","3,155","3,155","6.31","6.31","6.31","6.31","6.31"
"Middlesex","North Brunswick","17","12","40,742","40,742","40,742","40,742","40,742","42,488","42,725","42,444","42,641","41,848","4.29","4.87","4.18","4.66","2.71","28,691","28,746","28,922","28,614","-","12,973","13,174","7,962","13,718","-","45.22","45.83","27.53","47.94","-","14,493","14,848","14,437","14,472","-","34.57","35.13","34.06","33.98","-","7,116","7,116","7,116","7,116","7,116","17.47","17.47","17.47","17.47","17.47","9,888","9,888","9,888","9,888","9,888","24.27","24.27","24.27","24.27","24.27","7,223","7,223","7,223","7,223","7,223","17.73","17.73","17.73","17.73","17.73","2,961","2,961","2,961","2,961","2,961","7.27","7.27","7.27","7.27","7.27","3,780","3,780","3,780","3,780","3,780","9.28","9.28","9.28","9.28","9.28"
"Hudson","Guttenberg","32","8","11,176","11,176","11,176","11,176","11,176","11,481","11,665","11,618","11,695","11,326","2.73","4.38","3.95","4.64","1.34","8,129","8,245","8,341","8,586","-","2,444","2,470","1,488","2,463","-","30.07","29.96","17.84","28.69","-","6,428","6,724","6,459","6,336","-","56.4","57.99","55.55","54","-","537","537","537","537","537","4.8","4.8","4.8","4.8","4.8","818","818","818","818","818","7.32","7.32","7.32","7.32","7.32","7,245","7,245","7,245","7,245","7,245","64.83","64.83","64.83","64.83","64.83","721","721","721","721","721","6.45","6.45","6.45","6.45","6.45","1,268","1,268","1,268","1,268","1,268","11.35","11.35","11.35","11.35","11.35"
"Middlesex","Monroe","14","12","39,132","39,132","39,132","39,132","39,132","42,810","44,141","44,604","45,332","44,818","9.4","12.8","13.98","15.84","14.53","31,273","32,438","33,518","34,249","-","13,401","14,517","8,307","15,610","-","42.85","44.75","24.78","45.58","-","7,479","8,042","8,687","9,327","-","18.26","19.09","20.27","21.3","-","1,533","1,533","1,533","1,533","1,533","3.92","3.92","3.92","3.92","3.92","4,930","4,930","4,930","4,930","4,930","12.6","12.6","12.6","12.6","12.6","1,673","1,673","1,673","1,673","1,673","4.28","4.28","4.28","4.28","4.28","1,640","1,640","1,640","1,640","1,640","4.19","4.19","4.19","4.19","4.19","13,626","13,626","13,626","13,626","13,626","34.82","34.82","34.82","34.82","34.82"
"Middlesex","Piscataway","17","6","56,044","56,044","56,044","56,044","56,044","58,982","58,069","57,602","57,887","56,923","5.24","3.61","2.78","3.29","1.57","34,971","34,654","34,051","34,350","-","16,986","17,010","9,962","17,362","-","48.57","49.09","29.26","50.54","-","19,000","18,348","18,271","18,513","-","32.97","31.99","31.81","32.09","-","11,596","11,596","11,596","11,596","11,596","20.69","20.69","20.69","20.69","20.69","18,744","18,744","18,744","18,744","18,744","33.45","33.45","33.45","33.45","33.45","6,289","6,289","6,289","6,289","6,289","11.22","11.22","11.22","11.22","11.22","3,311","3,311","3,311","3,311","3,311","5.91","5.91","5.91","5.91","5.91","5,435","5,435","5,435","5,435","5,435","9.7","9.7","9.7","9.7","9.7"
"Hudson","North Bergen","32","8","60,773","60,773","60,773","60,773","60,773","62,602","62,993","62,886","63,659","61,627","3.01","3.65","3.48","4.75","1.41","43,396","43,057","43,698","44,726","-","11,031","11,218","7,665","11,559","-","25.42","26.05","17.54","25.84","-","31,807","30,675","32,851","33,147","-","51.21","49.03","52.32","52.25","-","2,456","2,456","2,456","2,456","2,456","4.04","4.04","4.04","4.04","4.04","3,979","3,979","3,979","3,979","3,979","6.55","6.55","6.55","6.55","6.55","41,569","41,569","41,569","41,569","41,569","68.4","68.4","68.4","68.4","68.4","3,823","3,823","3,823","3,823","3,823","6.29","6.29","6.29","6.29","6.29","8,188","8,188","8,188","8,188","8,188","13.47","13.47","13.47","13.47","13.47"
"Middlesex","Perth Amboy","19","6","50,814","50,814","50,814","50,814","50,814","52,328","52,682","52,499","52,823","51,928","2.98","3.68","3.32","3.95","2.19","32,574","32,646","32,396","32,694","-","4,809","4,739","3,602","4,744","-","14.76","14.52","11.12","14.51","-","20,215","20,979","21,265","21,968","-","39.08","40.21","40.69","41.79","-","5,358","5,358","5,358","5,358","5,358","10.54","10.54","10.54","10.54","10.54","859","859","859","859","859","1.69","1.69","1.69","1.69","1.69","39,685","39,685","39,685","39,685","39,685","78.1","78.1","78.1","78.1","78.1","4,003","4,003","4,003","4,003","4,003","7.88","7.88","7.88","7.88","7.88","4,704","4,704","4,704","4,704","4,704","9.26","9.26","9.26","9.26","9.26"
"Hudson","Kearny","32","8, 9","40,684","40,684","40,684","40,684","40,684","41,837","42,137","42,126","42,670","41,422","2.83","3.57","3.54","4.88","1.81","27,976","28,406","28,606","29,326","-","5,875","6,397","4,641","7,148","-","21","22.52","16.22","24.37","-","17,041","16,711","17,509","18,312","-","41.03","39.92","41.66","43.1","-","2,186","2,186","2,186","2,186","2,186","5.37","5.37","5.37","5.37","5.37","1,793","1,793","1,793","1,793","1,793","4.41","4.41","4.41","4.41","4.41","16,253","16,253","16,253","16,253","16,253","39.95","39.95","39.95","39.95","39.95","2,231","2,231","2,231","2,231","2,231","5.48","5.48","5.48","5.48","5.48","4,362","4,362","4,362","4,362","4,362","10.72","10.72","10.72","10.72","10.72"
"Morris","Mendham Twp","25","11","5,869","5,869","5,869","5,869","5,869","5,882","5,873","5,862","5,845","5,744","0.22","0.07","-0.12","-0.41","-2.13","3,867","3,861","3,980","3,877","-","2,767","2,808","1,641","2,937","-","71.55","72.73","41.23","75.75","-","660","761","729","780","-","11.23","12.93","12.37","13.27","-","76","76","76","76","76","1.29","1.29","1.29","1.29","1.29","200","200","200","200","200","3.41","3.41","3.41","3.41","3.41","211","211","211","211","211","3.6","3.6","3.6","3.6","3.6","255","255","255","255","255","4.34","4.34","4.34","4.34","4.34","735","735","735","735","735","12.52","12.52","12.52","12.52","12.52"
"Morris","Morris Plains","26","11","5,532","5,532","5,532","5,532","5,532","5,733","5,626","5,593","5,581","5,912","3.63","1.7","1.1","0.89","6.87","16,078","3,939","3,980","4,006","-","10,909","2,243","1,312","2,406","-","67.85","56.94","32.96","60.06","-","2,579","644","533","578","-","11.44","11.5","9.5","10.31","-","151","151","151","151","151","2.73","2.73","2.73","2.73","2.73","275","275","275","275","275","4.97","4.97","4.97","4.97","4.97","314","314","314","314","314","5.68","5.68","5.68","5.68","5.68","355","355","355","355","355","6.42","6.42","6.42","6.42","6.42","918","918","918","918","918","16.59","16.59","16.59","16.59","16.59"
"Morris","Florham Park","27","11","11,696","11,696","11,696","11,696","11,696","11,829","11,835","11,766","11,765","11,594","1.14","1.19","0.6","0.59","-0.87","7,693","7,629","7,670","7,764","-","4,756","4,884","2,714","5,198","-","61.82","64.02","35.38","66.95","-","1,902","1,900","1,826","1,703","-","16.09","16.1","15.49","14.44","-","509","509","509","509","509","4.35","4.35","4.35","4.35","4.35","745","745","745","745","745","6.37","6.37","6.37","6.37","6.37","594","594","594","594","594","5.08","5.08","5.08","5.08","5.08","554","554","554","554","554","4.74","4.74","4.74","4.74","4.74","1,967","1,967","1,967","1,967","1,967","16.82","16.82","16.82","16.82","16.82"
"Morris","Long Hill","21","7","8,702","8,702","8,702","8,702","8,702","8,791","8,779","8,744","8,711","8,560","1.02","0.88","0.48","0.1","-1.63","6,065","6,049","5,968","6,082","-","3,479","3,448","1,980","3,723","-","57.36","57","33.18","61.21","-","1,608","1,567","1,472","1,032","-","18.34","17.87","16.8","11.78","-","54","54","54","54","54","0.62","0.62","0.62","0.62","0.62","520","520","520","520","520","5.98","5.98","5.98","5.98","5.98","614","614","614","614","614","7.06","7.06","7.06","7.06","7.06","453","453","453","453","453","5.21","5.21","5.21","5.21","5.21","1,280","1,280","1,280","1,280","1,280","14.71","14.71","14.71","14.71","14.71"
"Morris","Chester","25","7","1,649","1,649","1,649","1,649","1,649","1,674","1,675","1,669","1,665","1,644","1.52","1.58","1.21","0.97","-0.3","1,067","1,097","1,058","1,020","-","578","617","331","579","-","54.17","56.24","31.29","56.76","-","183","204","191","175","-","11.75","12.66","12.11","11.36","-","17","17","17","17","17","1.03","1.03","1.03","1.03","1.03","38","38","38","38","38","2.3","2.3","2.3","2.3","2.3","222","222","222","222","222","13.46","13.46","13.46","13.46","13.46","83","83","83","83","83","5.03","5.03","5.03","5.03","5.03","291","291","291","291","291","17.65","17.65","17.65","17.65","17.65"
"Morris","Dover","25","7","18,157","18,157","18,157","18,157","18,157","18,313","18,346","18,252","18,232","17,961","0.86","1.04","0.52","0.41","-1.08","12,176","12,262","12,676","12,724","-","1,671","1,901","1,594","1,959","-","13.72","15.5","12.57","15.4","-","9,064","8,775","8,344","8,628","-","49.54","47.89","45.55","47.13","-","1,108","1,108","1,108","1,108","1,108","6.1","6.1","6.1","6.1","6.1","461","461","461","461","461","2.54","2.54","2.54","2.54","2.54","12,598","12,598","12,598","12,598","12,598","69.38","69.38","69.38","69.38","69.38","1,212","1,212","1,212","1,212","1,212","6.68","6.68","6.68","6.68","6.68","1,914","1,914","1,914","1,914","1,914","10.54","10.54","10.54","10.54","10.54"
"Morris","Boonton","25","11","8,347","8,347","8,347","8,347","8,347","8,412","8,441","8,382","8,354","8,212","0.78","1.13","0.42","0.08","-1.62","5,855","5,975","5,972","5,869","-","2,675","2,890","1,910","2,776","-","45.69","48.37","31.98","47.3","-","1,678","1,259","1,511","1,519","-","19.92","14.95","17.98","18.1","-","402","402","402","402","402","4.82","4.82","4.82","4.82","4.82","839","839","839","839","839","10.05","10.05","10.05","10.05","10.05","920","920","920","920","920","11.02","11.02","11.02","11.02","11.02","551","551","551","551","551","6.6","6.6","6.6","6.6","6.6","1,098","1,098","1,098","1,098","1,098","13.15","13.15","13.15","13.15","13.15"
"Morris","Butler","26","11","7,539","7,539","7,539","7,539","7,539","7,690","7,701","7,779","7,774","7,650","2","2.15","3.18","3.12","1.47","5,455","5,433","5,433","5,531","-","1,846","1,988","1,455","2,040","-","33.84","36.59","26.78","36.88","-","1,357","1,391","1,428","1,365","-","17.77","18.16","18.37","17.54","-","84","84","84","84","84","1.11","1.11","1.11","1.11","1.11","228","228","228","228","228","3.02","3.02","3.02","3.02","3.02","860","860","860","860","860","11.41","11.41","11.41","11.41","11.41","443","443","443","443","443","5.88","5.88","5.88","5.88","5.88","995","995","995","995","995","13.2","13.2","13.2","13.2","13.2"
"Morris","Mount Arlington","25","7","5,050","5,050","5,050","5,050","5,050","5,211","5,300","5,455","5,868","5,877","3.19","4.95","8.02","16.2","16.38","2,559","4,082","4,160","4,260","-","2,228","1,565","986","1,763","-","87.07","38.34","23.7","41.38","-","575","544","601","615","-","13.58","10.49","11.45","11.38","-","117","117","117","117","117","2.32","2.32","2.32","2.32","2.32","181","181","181","181","181","3.58","3.58","3.58","3.58","3.58","415","415","415","415","415","8.22","8.22","8.22","8.22","8.22","237","237","237","237","237","4.69","4.69","4.69","4.69","4.69","1,031","1,031","1,031","1,031","1,031","20.42","20.42","20.42","20.42","20.42"
"Morris","Mountain Lakes","25","11","4,160","4,160","4,160","4,160","4,160","4,262","4,288","4,332","4,345","4,276","2.45","3.08","4.13","4.45","2.79","19,141","2,604","2,614","2,697","-","8,191","2,273","925","2,322","-","42.79","87.29","35.39","86.1","-","4,532","587","602","693","-","15.89","13.77","14.04","16.08","-","15","15","15","15","15","0.36","0.36","0.36","0.36","0.36","318","318","318","318","318","7.64","7.64","7.64","7.64","7.64","106","106","106","106","106","2.55","2.55","2.55","2.55","2.55","200","200","200","200","200","4.81","4.81","4.81","4.81","4.81","419","419","419","419","419","10.07","10.07","10.07","10.07","10.07"
"Atlantic","Estell Manor","1","2","1,735","1,735","1,735","1,735","1,735","1,736","1,731","1,718","1,720","1,720","0.06","-0.23","-0.98","-0.86","-0.86","1,194","1,223","1,200","1,227","-","281","294","219","318","-","23.53","24.04","18.25","25.92","-","61","52","59","30","-","3.62","3.01","3.47","1.72","-","16","16","16","16","16","0.92","0.92","0.92","0.92","0.92","28","28","28","28","28","1.61","1.61","1.61","1.61","1.61","18","18","18","18","18","1.04","1.04","1.04","1.04","1.04","74","74","74","74","74","4.27","4.27","4.27","4.27","4.27","192","192","192","192","192","11.07","11.07","11.07","11.07","11.07"
"Atlantic","Galloway","9","2","37,349","37,349","37,349","37,349","37,349","37,583","37,291","36,753","36,563","35,967","0.63","-0.16","-1.6","-2.1","-3.7","23,541","23,826","23,943","24,191","-","6,383","6,501","4,476","7,070","-","27.11","27.29","18.69","29.23","-","5,165","5,380","5,526","5,256","-","13.78","14.37","14.87","14.19","-","4,271","4,271","4,271","4,271","4,271","11.44","11.44","11.44","11.44","11.44","3,744","3,744","3,744","3,744","3,744","10.02","10.02","10.02","10.02","10.02","3,752","3,752","3,752","3,752","3,752","10.05","10.05","10.05","10.05","10.05","1,844","1,844","1,844","1,844","1,844","4.94","4.94","4.94","4.94","4.94","5,124","5,124","5,124","5,124","5,124","13.72","13.72","13.72","13.72","13.72"
